#OTU ID	Leaf-Ctrl2	Leaf-L3.9-Mericon100-1	Leaf-L3.9-Mericon100-2	Leaf-L3.9-PlantPro100-1	Leaf-L3.9-PlantPro100-2	Leaf-L7-PlantPro100-1	Leaf-L7-PlantPro100.2	Leaf-Magmax100-1	Leaf-Magmax100-2	Root-Ctrl-1	Root-Ctrl-2	Root-Magmax100-1	Root-Magmax100-2	Root-R3.9-Mericon100-1	Root-R3.9-Mericon100-2	Root-R3.9-PlantPro100-1	Root-R3.9-PlantPro100-2	Root-R7-PlantPro100-1	Root-R7-PlantPro100-2	Taxonomy
OTU1914	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	44	4	3	1	SS|0.8900|GU117702_S001745410;k:Bacteria,p:"Bacteroidetes",c:Cytophagia,o:Cytophagales,g:Ohtaekwangia
OTU1915	0	0	0	0	0	0	0	0	0	0	0	5	24	19	10	20	15	29	42	SS|1.0000|JX260424_S003613674;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,g:Reyranella
OTU1916	0	0	0	0	0	0	0	0	0	0	0	10	7	14	20	26	12	19	28	SS|0.9400|EU545827_S001096520;k:Bacteria,p:"Proteobacteria",c:Deltaproteobacteria,o:Myxococcales,f:Polyangiaceae
OTU1917	0	0	0	0	0	0	0	0	0	0	0	3	2	8	2	7	15	1	2	SS|0.9500|AB243673_S000622967;k:Bacteria,p:"Chloroflexi",c:Anaerolineae,o:Anaerolineales,f:Anaerolineaceae
OTU1918	0	0	0	0	0	0	0	0	0	0	0	1	6	6	4	19	6	23	28	SS|0.8300|AB360343_S001014081;k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Acidimicrobiales
OTU1919	0	0	0	0	0	0	0	0	0	0	0	1	2	9	1	9	11	17	6	SS|0.8500|AJ292685_S000019750;k:Bacteria,p:candidate_division_WPS-1,g:WPS-1_genera_incertae_sedis
OTU192	0	0	0	0	0	0	0	0	0	0	0	196	6	45	30	184	131	149	204	GS|76.3|CP000473_S002290405;k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp3,g:Candidatus_Solibacter;
OTU1920	0	4	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|0.0|None;No hit
OTU1921	0	0	0	0	0	0	0	0	0	0	0	3	6	4	2	9	6	14	8	SS|1.0000|AY485298_S000369116;k:Bacteria
OTU1922	0	0	0	0	0	0	0	0	0	0	0	8	1	5	1	6	18	8	10	SS|0.9900|AY217494_S000402860;k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp10,g:Gp10
OTU1923	0	0	0	0	0	0	0	0	0	0	0	5	3	8	16	13	6	16	18	SS|1.0000|AJ390480_S000128202;k:Bacteria,p:Latescibacteria,g:Latescibacteria_genera_incertae_sedis
OTU1924	0	0	0	0	0	0	0	0	0	0	0	0	3	3	2	5	8	22	32	SS|0.9200|AJ292582_S000020307;k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp3,g:Gp3
OTU1925	0	0	0	0	0	0	0	0	0	0	0	4	5	8	2	6	3	7	9	GS|0.0|None;No hit
OTU1926	0	0	0	0	0	0	0	0	0	0	0	17	2	2	5	10	11	13	15	GS|97.6|EF457354_S000834779;k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp6,g:Gp6;
OTU1927	0	0	0	0	0	0	0	0	0	0	0	9	0	2	1	8	1	16	7	SS|1.0000|AJ292685_S000019750;k:Bacteria
OTU1928	0	0	0	0	0	0	0	0	0	0	0	8	1	14	4	12	8	4	15	SS|0.9900|X56305_S000006614;k:Bacteria
OTU1929	0	0	0	0	0	0	0	0	0	0	0	9	0	9	13	8	3	1	7	SS|0.8100|AJ626894_S000539472;k:Bacteria,p:"Bacteroidetes",c:Cytophagia,o:Cytophagales,f:Cytophagaceae
OTU193	0	0	10	0	0	0	0	0	0	0	0	50	32	72	42	205	57	180	276	GS|100.0|AB607860_S002949431;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Methylobacteriaceae,g:Methylobacterium;
OTU1930	0	0	0	0	0	0	0	0	0	0	0	3	0	2	2	42	2	7	1	SS|1.0000|AB669272_S003609811;k:Bacteria
OTU1931	0	0	0	0	0	0	0	0	0	0	0	1	2	5	6	28	12	37	28	GS|97.2|X92618_S000003128;k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Micromonosporaceae,g:Micromonospora;
OTU1932	0	0	0	0	0	0	0	0	0	0	0	5	4	15	6	16	12	20	22	SS|1.0000|DQ986200_S000736608;k:Bacteria,p:"Planctomycetes",c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae
OTU1933	0	0	0	0	0	0	0	0	0	0	0	16	13	8	5	21	20	16	28	SS|0.9900|CP001848_S002289094;k:Bacteria,p:"Planctomycetes",c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae
OTU1934	0	0	0	0	0	0	0	0	0	0	0	4	1	12	11	10	10	35	18	SS|1.0000|AY548789_S000485873;k:Bacteria
OTU1935	0	0	0	0	0	0	0	0	0	0	0	0	2	9	17	15	9	3	11	SS|0.8500|AF126282_S000387293;k:Bacteria,p:"Proteobacteria"
OTU1936	0	0	0	0	0	0	0	0	0	0	0	0	0	24	29	2	1	1	0	SS|0.8600|KP161655_S004454340;k:Bacteria,p:"Planctomycetes",c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae
OTU1937	0	0	0	0	0	0	0	0	0	0	0	3	2	8	7	27	3	8	8	SS|0.8400|GU207874_S002224489;k:Bacteria,p:"Proteobacteria",c:Deltaproteobacteria,o:Myxococcales
OTU1938	0	0	0	0	0	0	0	0	0	0	0	35	1	6	0	0	0	2	0	SS|1.0000|FJ624399_S001351089;k:Bacteria
