OTU ID	Leaf-Ctrl2	Leaf-L3.9-Mericon100-1	Leaf-L3.9-Mericon100-2	Leaf-L3.9-PlantPro100-1	Leaf-L3.9-PlantPro100-2	Leaf-L7-PlantPro100-1	Leaf-L7-PlantPro100.2	Leaf-Magmax100-1	Leaf-Magmax100-2	Root-Ctrl-1	Root-Ctrl-2	Root-Magmax100-1	Root-Magmax100-2	Root-R3.9-Mericon100-1	Root-R3.9-Mericon100-2	Root-R3.9-PlantPro100-1	Root-R3.9-PlantPro100-2	Root-R7-PlantPro100-1	Root-R7-PlantPro100-2
OTU1023	0	0	0	0	0	0	0	0	0	0	0	6	1	7	6	19	10	57	19
OTU10230	0	0	0	0	0	0	0	0	0	0	0	12	3	5	9	9	4	21	12
OTU10231	0	0	0	0	0	0	0	0	0	0	0	4	0	1	2	4	2	4	8
OTU10232	0	0	0	0	0	0	0	0	0	0	0	6	3	19	5	15	18	10	12
OTU10233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
OTU10236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0
OTU10237	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	2	4	3	5
OTU10238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
OTU10242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
OTU10243	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2
OTU10244	0	0	0	0	0	0	0	0	0	0	0	6	0	3	0	4	1	0	0
OTU10246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0
OTU10247	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	1	1	0
OTU1025	0	0	0	0	0	0	0	0	0	0	0	12	1	12	4	34	20	16	92
OTU10250	0	0	0	0	0	0	0	0	0	0	0	4	0	5	1	3	5	4	5
OTU10252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	3
OTU10255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
OTU10257	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0
OTU10258	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	1	2	2
OTU1026	0	0	0	0	0	0	0	0	0	0	0	11	8	14	14	31	16	34	38
OTU10260	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0
OTU10262	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2
OTU10264	0	0	0	0	0	0	0	0	0	0	0	6	4	20	14	15	15	8	29
OTU10266	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU10267	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0
OTU10268	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
OTU10269	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU1027	0	4	0	0	0	0	0	0	0	0	0	19	5	15	10	41	23	49	76
OTU10271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
OTU10272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
OTU10273	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU10274	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
OTU10275	0	0	0	0	0	0	0	0	0	0	0	4	28	44	33	219	72	203	220
OTU10279	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	4	2
OTU1028	0	0	0	0	0	0	0	0	0	0	0	45	11	29	22	14	34	11	35
OTU10280	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	4
OTU10281	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	10	0	3	3
OTU10282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
OTU10283	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0
OTU10284	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	3	0	3
OTU10286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
OTU10287	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU10288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU1029	0	0	0	0	0	0	0	0	0	0	0	9	5	10	13	15	12	23	42
OTU10292	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2
OTU10293	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0
OTU10294	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1
OTU10297	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0
OTU10299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
OTU103	0	0	0	0	0	0	0	0	0	0	0	139	257	441	322	403	339	407	457
OTU1030	0	0	0	0	0	0	0	0	0	0	0	3	22	33	7	49	41	60	76
OTU10300	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	2
OTU10301	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
OTU10302	0	0	0	0	0	0	0	0	0	0	0	2	1	6	3	10	3	13	8
OTU10303	0	0	0	0	0	0	0	0	0	0	0	2	5	0	1	2	5	1	0
OTU10304	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
OTU10306	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
OTU10307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
OTU1031	0	0	2	2	0	0	0	0	0	0	0	0	5	14	3	77	6	24	76
OTU10310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
OTU10311	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0
OTU10312	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1
OTU10314	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0
OTU10315	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0
OTU10317	0	0	0	0	0	0	0	0	0	0	0	4	111	7	10	55	60	35	81
OTU10319	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
OTU1032	0	0	0	0	0	0	0	0	0	0	0	6	4	39	15	22	13	13	21
OTU10321	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0
OTU10322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1
OTU10323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0
OTU10324	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	3	1	3
OTU10327	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1
OTU10328	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	1
OTU10329	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	1	0	0
OTU1033	0	16	0	6	0	41	0	0	0	0	0	0	5	4	7	37	5	49	53
OTU10330	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0
OTU10332	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0
OTU10333	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0
OTU10334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0
OTU10336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
OTU10337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0
OTU10338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU10339	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	3	2	2
OTU10341	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
OTU10342	0	6	0	0	0	0	0	0	0	0	0	2	0	1	0	1	1	1	2
OTU10343	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0
